,source,target,value,layer,time
0,69,52,18,2,1
1,25,70,17,1,1
2,14,10,74,1,1
3,53,94,59,2,2
4,20,51,65,1,1
5,57,38,47,1,1
6,96,55,13,2,2
7,88,57,87,2,2
8,7,37,57,2,1
9,86,88,7,2,2
10,48,69,36,2,1
11,82,52,88,2,2
12,14,3,78,2,1
13,27,89,91,1,1
14,39,96,38,1,1
15,2,93,67,1,1
16,31,88,38,1,1
17,16,43,35,2,1
18,67,61,39,1,1
19,17,81,3,2,2
20,2,29,93,1,2
21,86,27,54,1,1
22,84,31,72,1,1
23,34,41,99,2,1
24,93,25,91,2,2
25,9,14,67,1,1
26,83,24,25,2,1
27,12,65,71,1,1
28,74,74,20,2,1
29,56,5,35,1,1
30,35,89,20,2,1
31,56,32,7,2,1
32,81,7,35,2,2
33,6,63,20,2,1
34,9,66,52,1,2
35,12,36,96,1,2
36,44,36,77,2,2
37,79,20,90,1,1
38,76,83,95,1,1
39,85,54,15,2,2
40,48,55,93,2,2
41,74,94,13,1,1
42,53,24,17,2,2
43,23,48,1,2,2
44,68,89,49,1,2
45,27,10,96,2,1
46,6,32,39,1,2
47,73,53,70,1,1
48,61,18,90,1,2
49,29,56,87,1,2
50,65,22,78,1,1
51,96,8,27,1,1
52,29,54,71,2,1
53,85,39,69,1,2
54,85,33,11,1,1
55,98,40,69,2,2
56,59,95,20,1,2
57,29,73,46,2,2
58,79,66,42,1,1
59,16,88,71,1,1
60,15,31,5,2,1
61,62,22,3,1,2
62,33,35,12,1,1
63,85,41,27,1,2
64,96,89,15,2,2
65,76,90,85,2,1
66,15,91,64,1,2
67,67,85,73,2,1
68,86,8,63,2,2
69,13,26,25,2,1
70,88,59,29,2,2
71,35,68,77,2,2
72,85,73,66,2,1
73,19,22,24,1,2
74,24,24,61,1,2
75,26,49,72,2,2
76,88,58,91,2,2
77,4,97,7,1,1
78,51,27,28,2,1
79,40,48,91,1,2
80,11,72,16,1,1
81,9,22,60,2,1
82,8,79,82,2,1
83,36,64,31,2,2
84,21,98,73,1,1
85,1,37,88,2,1
86,83,32,25,1,1
87,37,68,43,2,1
88,27,29,57,1,2
89,92,35,7,2,2
90,56,5,12,2,1
91,87,73,16,1,2
92,96,78,56,1,1
93,63,75,21,2,1
94,76,70,83,1,1
95,37,66,76,2,2
96,4,63,89,1,1
97,37,74,30,1,1
98,94,43,80,1,2
99,18,30,58,2,1
100,61,36,2,1,2
101,39,72,49,2,2
102,17,64,48,1,2
103,53,69,52,2,1
104,9,80,2,1,2
105,95,36,2,1,2
106,26,85,76,1,1
107,76,88,88,1,1
108,81,82,24,1,2
109,46,19,1,2,2
110,67,86,88,2,1
111,7,13,78,1,1
112,63,52,81,1,2
113,31,21,84,2,2
114,75,44,16,2,2
115,65,11,71,1,2
116,94,61,76,1,2
117,12,31,15,2,1
118,98,72,98,2,1
119,98,3,81,2,1
120,56,68,95,1,2
121,19,79,86,2,1
122,58,26,19,2,2
123,4,85,12,1,2
124,80,96,87,1,2
125,6,12,56,1,1
126,32,58,19,1,2
127,7,56,69,2,1
128,66,66,62,1,1
129,45,65,11,2,1
130,73,30,64,2,2
131,43,37,9,2,1
132,51,17,44,1,2
133,93,68,49,2,1
134,38,6,31,2,2
135,56,92,28,1,2
136,51,27,18,2,2
137,92,39,2,2,2
138,7,40,21,1,1
139,97,93,27,1,2
140,59,89,6,1,1
141,70,50,39,2,1
142,92,28,91,2,2
143,56,13,22,2,2
144,51,83,56,1,2
145,64,96,13,1,2
146,61,74,63,1,1
147,47,73,73,2,2
148,96,41,9,2,2
149,47,9,60,1,2
150,65,94,63,2,1
151,95,77,52,2,2
152,91,12,98,2,2
153,80,30,87,2,1
154,90,86,44,2,1
155,11,50,26,2,2
156,53,86,74,2,1
157,5,48,68,1,1
158,46,12,75,1,1
159,69,47,29,1,2
160,83,94,90,2,1
161,14,25,61,1,2
162,70,7,4,1,1
163,62,78,64,1,1
164,21,35,19,1,1
165,46,92,92,2,1
166,9,91,20,2,1
167,14,51,33,1,1
168,31,81,26,1,2
169,19,13,41,1,2
170,73,57,17,2,1
171,16,94,76,2,2
172,55,81,36,1,1
173,55,30,79,2,1
174,95,11,42,2,2
175,43,72,87,1,1
176,42,52,90,2,2
177,17,24,86,2,1
178,28,3,36,2,2
